id,handle,text,is_retweet,original_author,time,lang,retweet_count,favorite_count
777910791110623232,HillaryClinton,"""No one will work harder to make your life better. I’ll never stop, no matter how tough it gets."" —Hillary https://t.co/TyXrp8PgsW",True,HFA,2016-09-19T16:42:40,en,840,1910
777889026661556224,HillaryClinton,"Not only is @realDonaldTrump wrong on birtherism, his words and policies are bad for Americans alive now and our children yet to be born.",True,RevDrBarber,2016-09-19T15:16:11,en,786,1898
777868477310918656,HillaryClinton,"Want to do a small part to help defeat Trump in November? RT this link and get everyone registered, and confirmed. https://t.co/1R7UN7e0a0",True,GeorgeTakei,2016-09-19T13:54:31,en,4478,3625
777858612727250948,HillaryClinton,.@HillaryClinton wrote for us about what millennials have taught her during this election: https://t.co/SlMZZ1C19f https://t.co/qNUEzbQeYR,True,mic,2016-09-19T13:15:19,en,1446,2507
777642761579270144,HillaryClinton,We've got 51 days left to win this thing. Make sure you're ready: https://t.co/B21QKpeiSj https://t.co/nZTkkuxtDP,True,timkaine,2016-09-18T22:57:36,en,2642,7182
777636788814880770,HillaryClinton,FACT: The @ClintonFdn spends 87% on its life changing work: https://t.co/z0zW4Axdbc https://t.co/GtI94aBp4m,True,ClintonFdn,2016-09-18T22:33:52,en,1449,2725
777605055834890242,HillaryClinton,"So, what do the candidates’ foundations do again? https://t.co/PVrx1SeUxs",True,TheBriefing2016,2016-09-18T20:27:47,en,2731,4336
777578838498873344,HillaryClinton,"When we stand together - as white, black and hispanic, gay and straight, women and men - we trump hate. https://t.co/B8aVUwudDc",True,BernieSanders,2016-09-18T18:43:36,en,4515,9680
777195717978910720,HillaryClinton,"When your friends say they won't vote, ask how much student debt they have. There's only one candidate who will make college affordable.",True,BernieSanders,2016-09-17T17:21:13,en,5019,11284
776799805964255232,HillaryClinton,"It's been 5 years, and Trump's still pushing the notion that @POTUS isn't American. https://t.co/TApNqSOcvN",True,timkaine,2016-09-16T15:08:00,en,2592,4372
776796015466807296,HillaryClinton,My dad was born in Poland. Do you know how many people ever asked me whether or not I was born in America? Nobody ever asked me that.,True,SenSanders,2016-09-16T14:52:56,en,49195,104428
776606300738314244,HillaryClinton,Immigrants aren’t somehow changing the American character; immigrants are the American character. https://t.co/S2vtM157TI,True,WhiteHouse,2016-09-16T02:19:05,en,2684,5324
776536090643689472,HillaryClinton,Celebrating #HispanicHeritageMonth with @HillaryClinton's quotes read by @DNCLatinos. 🇺🇸 https://t.co/BEPgn0hQNd,True,Jorge_Silva,2016-09-15T21:40:06,en,1407,2384
776530140998295553,HillaryClinton,"Love this.

""@HillaryClinton has spent her life fighting for children—here are 8 ways she’s changed their lives."" 

https://t.co/7goGIa0Ag0",True,SenGillibrand,2016-09-15T21:16:27,en,2194,3923
776484189977837568,HillaryClinton,People have seen almost 40 years of tax returns from Hillary. One set from Trump really isn't too much to ask. https://t.co/K3oyDiIUlq,True,timkaine,2016-09-15T18:13:51,en,3624,6551
776454788645003264,HillaryClinton,"An unsurprising Nazi reference from the ""alt-right"" movement's presidential campaign. This is the real Trump. https://t.co/HOUgRC8343",True,Evan_McMullin,2016-09-15T16:17:02,en,3212,3881
776407898238877696,HillaryClinton,".@HillaryClinton stands by @RealDonaldTrump running a deplorable campaign.  His comments have been bigoted, mean and untrue.",True,TJMShow,2016-09-15T13:10:42,en,757,2112
776248216597721088,HillaryClinton,"Congratulations to Carla Hayden, sworn in today as 14th #LibrarianOfCongress! Follow her at @LibnOfCongress https://t.co/d6cyBNEfUV",True,librarycongress,2016-09-15T02:36:11,en,634,1652
776231971022376960,HillaryClinton,This is the America I believe in-Beautiful. Multifaceted. Loving. Inclusive. This is why I'm passionate https://t.co/ia363mFPv8 #WeTrumpHate,True,SophiaBush,2016-09-15T01:31:38,en,1092,2716
776210505300054016,HillaryClinton,"People are making less real wages than 18 years ago, Trump says in Ohio. ""Me, I’m working harder also so I don’t feel sorry for any of you.""",True,JenniferJJacobs,2016-09-15T00:06:20,en,2856,3370
776146554277289988,HillaryClinton,Attention lawyers &amp; law students: Help @HillaryClinton protect the right to vote. Sign up &amp; share with your friends: https://t.co/FPdlNX35BF,True,marceelias,2016-09-14T19:52:13,en,1010,1517
776138180517040129,HillaryClinton,Hillary applauds the agreement on a new memorandum of understanding regarding U.S. security assistance to Israel. https://t.co/NDnDsVKODP,True,rosenbergerlm,2016-09-14T19:18:56,en,635,1506
776127586564968448,HillaryClinton,Hillary Clinton has some questions for Donald Trump after reading that @Newsweek article. https://t.co/jfyKQFBpFL,True,TwitterMoments,2016-09-14T18:36:51,en,2368,3210
776051645297913856,HillaryClinton,In @Newsweek: A Pres Trump could not conduct US foreign policy w/o affecting his personal bank account.  https://t.co/A1Xw4IlxUX,True,kurteichenwald,2016-09-14T13:35:05,en,2240,2744
776047278364758016,HillaryClinton,"In @Newsweek: Trump Organization business would place national security at risk, even undermining the war on ISIS. https://t.co/A1Xw4IlxUX",True,kurteichenwald,2016-09-14T13:17:44,en,2328,2935
776042470836695040,HillaryClinton,Our latest cover story: Trump's foreign ties could upend U.S. national security interests https://t.co/44RNvOMham https://t.co/3sXNDP3HNE,True,Newsweek,2016-09-14T12:58:37,en,4481,4817
775848325199323136,HillaryClinton,"Like most of Trump’s plans, the details of his paid leave proposal aren't serious. https://t.co/os0sznIEju",True,TheBriefing2016,2016-09-14T00:07:09,en,1158,1883
775795472732659712,HillaryClinton,Why @HillaryClinton is the best choice to lead the US economy (via @AndreaJung9) https://t.co/Ij9chfRugD #election2016,True,CNBCopinion,2016-09-13T20:37:08,en,2119,3708
775740736868323328,HillaryClinton,Every woman in this country deserves to be free from harm and from fear. Proud to celebrate 22 years of the Violence Against Women Act. -Joe,True,JoeBiden,2016-09-13T16:59:38,en,3520,9472
775714298966450176,HillaryClinton,.@HillaryClinton's HBCU plan is really smart. Addresses so many critical issues around access &amp; debt. I'm impressed. https://t.co/KqmOIek5II,True,texasinafrica,2016-09-13T15:14:35,en,469,1117
775422234148175882,HillaryClinton,"🎓 Tuition
📚 Books
🏡 Room and board
🍕 Food
College adds up. @HillaryClinton wants to help you save: https://t.co/uRn5JlFs8u",True,CollegeDems,2016-09-12T19:54:01,en,615,1403
775391163243237376,HillaryClinton,Leading charity watchdogs agree: the work of the @ClintonFdn earns the highest marks across the board. https://t.co/wOqMvnnUNS,True,ClintonFdn,2016-09-12T17:50:34,en,1665,3218
775359954349879296,HillaryClinton,"Senator Tim Kaine: ""Everyone deserves affordable higher education"" https://t.co/unC6d07poy",True,TIME,2016-09-12T15:46:33,en,833,2079
774794852798193664,HillaryClinton,reading https://t.co/CfsnQUUZ77 makes me excited to vote for @HillaryClinton with the next generation in mind 🐣 https://t.co/niKY8H1PIM,True,tyleroakley,2016-09-11T02:21:02,en,1942,8220
774779998553145344,HillaryClinton,".@ClintonFdn: 4/4 stars from @CharityNav

Trump Fdn: Fined by the IRS for illegal political donation
https://t.co/sVWBWZbjjM",True,TheBriefing2016,2016-09-11T01:22:01,en,2237,3122
774726490835607552,HillaryClinton,".@realdonaldtrump once used $20,000 of his charity's money to buy a six-foot-tall painting of...himself. https://t.co/PyskO1LtLC",True,Fahrenthold,2016-09-10T21:49:23,en,7060,6701
774701341084151808,HillaryClinton,"If Donald Trump wins, kids lose. https://t.co/TvQS8jWqYy",True,USNewsOpinion,2016-09-10T20:09:27,en,1301,2017
773990251140411393,HillaryClinton,"When it comes to mental health, help should be focused on treatment, not judgment. https://t.co/IG5sP5qpbG",True,timkaine,2016-09-08T21:03:50,en,1289,3333
773919776355848194,HillaryClinton,Hillary Clinton is supporting a bill that would protect benefits for former coal miners https://t.co/4gLC6U1swR https://t.co/ZCahhAvT9Q,True,businessinsider,2016-09-08T16:23:48,en,1112,1818
773904330990714880,HillaryClinton,"The House should reject H.R. 5424, which rolls back important rules on Wall Street money managers and puts workers’ retirements at risk.",True,mikereedschmidt,2016-09-08T15:22:25,en,488,1098
773897081828306945,HillaryClinton,"Donald Trump ""absolutely"" stands behind his horrible 2013 tweet about sexual assault in the military https://t.co/c7mAsS1a06",True,nowthisnews,2016-09-08T14:53:37,en,1670,1899
773714580421873664,HillaryClinton,"Trump to Matt Lauer on Iraq: ""I was totally against the war."" Here's proof Trump is lying: https://t.co/6ZhgJMUhs3 https://t.co/PJXG20q9LJ",True,voxdotcom,2016-09-08T02:48:25,en,3140,3842
773694664960577536,HillaryClinton,"Trump's unpresidential trifecta tonight:
1. Attack our generals
2. Praise Putin
3. Blame women in combat for sexual assault
#NBCNewsForum",True,brianefallon,2016-09-08T01:29:17,en,8082,10884
773693758265262080,HillaryClinton,Trump tried to prove he'd be fit to serve as president...by comparing @POTUS unfavorably to Putin. #NBCNewsForum https://t.co/zCZ0NfYcTT,True,TheBriefing2016,2016-09-08T01:25:41,en,1864,2700
773692233744785409,HillaryClinton,I really can't believe I just saw a Republican nominee for president heap praise on a thuggish Russian leader while denigrating our military,True,morningmoneyben,2016-09-08T01:19:37,en,6667,10234
773685017042096128,HillaryClinton,"Donald Trump's super secret plan to fight ISIS is still a super secret. #NBCNewsForum 
https://t.co/SBbCVgeaQD",True,TheBriefing2016,2016-09-08T00:50:57,en,858,1615
773684718202187776,HillaryClinton,A man who talks about our veterans and military families like this doesn't deserve to be Commander-in-Chief. https://t.co/4s6SvAAyNA,True,HillaryClinton,2016-09-08T00:49:45,en,4156,8944
773681680397860864,HillaryClinton,"In 2002, Donald Trump said he supported invading Iraq https://t.co/B3071OFSQy https://t.co/On1ZfL88eC",True,BuzzFeed,2016-09-08T00:37:41,en,1512,1799
773678952992894977,HillaryClinton,"Unlike her opponent, Hillary's plan to defeat ISIS is not a secret. #NBCNewsForum https://t.co/oD3OtTss9z",True,TheBriefing2016,2016-09-08T00:26:51,en,753,1476
773668180355055616,HillaryClinton,A person who trash talks our own military should never set foot in the Oval Office. https://t.co/h04p4QF1xz,True,timkaine,2016-09-07T23:44:02,en,2895,6212
773666123896225792,HillaryClinton,"""We must be a force for unity in America, for a vision that includes all of us."" —Gen. John Allen at the DNC https://t.co/AyI3H0mrdd",True,HFA,2016-09-07T23:35:52,en,420,1154
773660205162852352,HillaryClinton,Trump's pay-to-play scandal revolves around the Trump U scam which preyed on people like this military family. https://t.co/LvUwpPsDOr,True,TheBriefing2016,2016-09-07T23:12:21,en,1794,2190
773630924433068032,HillaryClinton,RT if you believe Donald Trump's actions speak louder than his empty words. https://t.co/VcLIIDNQdJ,True,timkaine,2016-09-07T21:16:00,en,4940,6341
773573415487889408,HillaryClinton,"1. Download our app
2. Complete daily challenges
3. Elect the next president

https://t.co/neivbRsKF8",True,HFA,2016-09-07T17:27:29,en,294,714
773489172904550400,HillaryClinton,We recommend @HillaryClinton for U.S. president https://t.co/eWtGJexQqz https://t.co/CazHEkM2pX,True,dallasnews,2016-09-07T11:52:44,en,4752,8149
773310415824617472,HillaryClinton,GOP cares more about defunding @PPFA and protecting the Confederate flag than protecting millions from Zika: https://t.co/89NlkqAERw,True,sarajacobs89,2016-09-07T00:02:25,en,859,1450
773001872022114305,HillaryClinton,Stronger together. https://t.co/6qmOJ39K56,True,timkaine,2016-09-06T03:36:22,en,3251,11643
772942682570317828,HillaryClinton,"While the Clinton Foundation receives high marks, Trump's is fined for a pay-to-play scheme https://t.co/RBfz9qQ1Vp https://t.co/XTc1QqhSjZ",True,TheBriefing2016,2016-09-05T23:41:10,en,2505,3452
772923560021094400,HillaryClinton,21 years ago @HillaryClinton's speech pushed the political discourse and forced a global dialogue on gender equality https://t.co/ie6q5yfytF,True,LizRomanoff,2016-09-05T22:25:11,en,1265,2639
772595451698749440,HillaryClinton,We need better community resources for the 1 in 4 college-aged students facing mental health challenges. https://t.co/6HgJLtHeM2,True,timkaine,2016-09-05T00:41:24,en,1740,4364
772540181777936386,HillaryClinton,Hillary Clinton has a quietly bold idea to stop drug price spikes: https://t.co/CWTgFWhnuS https://t.co/q06VjyIRUL,True,Slate,2016-09-04T21:01:47,en,794,1730
772145826579767296,HillaryClinton,"Hillary will deliver on Paris &amp; go further to cut emissions, build renewable energy to power every home in America. https://t.co/pbSfCG6md3",True,johnpodesta,2016-09-03T18:54:45,en,1492,3680
772112825724571648,HillaryClinton,There's no higher calling than service to others. https://t.co/ldZqTt3tqU,True,timkaine,2016-09-03T16:43:37,en,2001,6029
771733851542544384,HillaryClinton,".@DavidLeopold: ""Trump laid out the most hardline, mean spirited immigration proposal in U.S. history."" https://t.co/5WeGrK7DVp",True,AmericasVoice,2016-09-02T15:37:42,en,859,1418
771681710517940224,HillaryClinton,Clinton announces plan to address 'unjustified' price hikes on life-saving drugs https://t.co/rRmEOlqYNF,True,ReutersPolitics,2016-09-02T12:10:31,en,1087,2256
771519937949081604,HillaryClinton,Donald Trump's immigration plan makes it clear that he's more interested in dividing us than uniting us. https://t.co/BZTegQGGYV,True,timkaine,2016-09-02T01:27:42,en,3160,6948
771497518790283264,HillaryClinton,"Folks, we've got to elect @HillaryClinton and take back the Senate. Let's roll up our sleeves and get to work. -Joe https://t.co/7MyhWs9sAc",True,JoeBiden,2016-09-01T23:58:36,en,3505,9056
771443033246138368,HillaryClinton,This election is about looking in the mirror. Do we see a nation that respects people or divides people? https://t.co/uQZLNiBd5m,True,timkaine,2016-09-01T20:22:06,en,2941,7300
771379484721311744,HillaryClinton,"""The neighborhood you come from is where your character is etched. Where your values are set."" -VP Biden https://t.co/DQ99r0Od7e",True,JoeBiden,2016-09-01T16:09:35,en,1002,3148
